TableName,MeasureName,DisplayFolder,State,ErrorMessage,ModifiedTime,Expression
"Dim Harvest Clients","ActiveProjectCount","","Ready","",2025-08-25T23:43:30.593333,"VAR ClientId = SELECTEDVALUE('Dim Harvest Clients'[Harvest Client Id]) RETURN CALCULATE( COUNTROWS( FILTER( 'Dim Harvest Projects', 'Dim Harvest Projects'[Is Active] = TRUE() ) ), TREATAS( { ClientId }, 'Dim Harvest Projects'[Harvest Client Id]) )"
"Measures Table","M360 Remaining Hours","Harvest Hours","Ready","",2025-08-11T06:13:39.26,"SUM('FACT Budgeted Harvest Hours'[Harvest Hours])-SUM('FACT Time Entries'[Hours])"
"Measures Table","Hours Used Last 4 Weeks","Harvest Hours","Ready","",2025-08-11T04:45:33.3,"CALCULATE ( SUM('FACT Time Entries'[Hours]), FILTER ( 'Dim Date', 'Dim Date'[Date]>= TODAY() - 32  && 'Dim Date'[Date] < TODAY() ) )"
"Measures Table","Hours Used Last 12 Weeks","Harvest Hours","Ready","",2025-08-11T04:45:01.1,"VAR SelectedWeek = SELECTEDVALUE(SelectWeek[Weeks], 4) RETURN CALCULATE ( SUM('FACT Time Entries'[Hours]), FILTER ( 'Dim Date', 'Dim Date'[Date]>= TODAY() - (7*SelectedWeek) && 'Dim Date'[Date] < TODAY() ) )"
"Measures Table","Hours Used CY","Harvest Hours","Ready","",2025-08-11T04:44:51.96,"CALCULATE(SUM('FACT Time Entries'[Hours]),'Dim Date'[Year]=YEAR(TODAY()))"
"Measures Table","Hours Used LY","Harvest Hours","Ready","",2025-08-11T04:45:38.446667,"CALCULATE( SUM('FACT Time Entries'[Hours]), 'Dim Date'[Year] = YEAR(TODAY()) - 1 )"
"Measures Table","HoursUsed LY1","Harvest Hours","Ready","",2025-08-11T04:45:42.596667,"CALCULATE( SUM('FACT Time Entries'[Hours]), 'Dim Date'[Year] = YEAR(TODAY()) - 2 )"
"Measures Table","#TicketsPYTrend","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"CALCULATE( DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]), FILTER( ALL('Dim Date'), 'Dim Date'[Year] = SELECTEDVALUE('Dim Date'[Year]) - 1 && 'Dim Date'[Month] = MAX('Dim Date'[Month]) ) )"
"Measures Table","ReopenedTicket%","Ratio","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"VAR ReopenedTicket = CALCULATE(DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]),'FACT Zendesk Tickets'[Reopened]=\"Yes\") VAR TotalTicket= CALCULATE(DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id])) RETURN DIVIDE(ReopenedTicket,TotalTicket)"
"Measures Table","#TicketsReopenedSY","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"CALCULATE( DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]), ALL('Dim Date'[Date]), 'Dim Date'[Year]=SELECTEDVALUE('Dim Date'[Year]), 'FACT Zendesk Tickets'[Reopened]=\"Yes\")"
"Measures Table","#TicketsReopenedPY","Count(#)","SemanticError","Cannot find table 'FACT Zendesk Tickets'.",2025-08-26T23:27:21.836667,"CALCULATE( DISTINCTCOUNT('FACT Zendesk Tickets'[Ticket Id]), FILTER( ALL('Dim Date'), 'Dim Date'[Year] = SELECTEDVALUE('Dim Date'[Year]) - 1 && 'Dim Date'[Month] = MAX('Dim Date'[Month]) ), 'FACT Zendesk Tickets'[Reopened]=\"Yes\")"
"Measures Table","Hours Used","Harvest Hours","Ready","",2025-08-11T04:44:45.363333,"COALESCE(CALCULATE(SUM('FACT Time Entries'[Hours]),'Dim Date'),0)"
